EmpID,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
RM297,0,0,0,0.0,Yes
RM302,0,0,0,0.0,No
RM458,0,0,0,0.0,Yes
RM728,0,0,0,0.0,No
RM829,0,0,0,0.0,Yes
RM973,0,0,0,0.0,No
RM1154,0,0,0,0.0,Yes
RM1312,0,0,0,0.0,No
RM128,0,0,0,0.0,Yes
RM150,1,0,0,0.0,No
RM172,0,0,0,0.0,Yes
RM178,1,0,1,0.0,Yes
RM423,1,0,0,0.0,Yes
RM689,1,0,0,0.0,Yes
RM854,1,1,0,0.0,No
RM893,1,1,0,0.0,Yes
RM910,1,0,0,1.0,No
RM103,1,0,1,0.0,Yes
RM488,1,0,0,0.0,No
RM514,1,0,1,1.0,Yes
RM663,2,2,0,2.0,Yes
RM690,1,0,0,0.0,Yes
RM732,1,0,0,0.0,Yes
RM777,2,2,0,2.0,Yes
RM857,2,2,1,2.0,No
RM877,2,1,2,2.0,No
RM1179,2,2,2,2.0,No
RM1198,2,2,0,2.0,No
RM024,0,0,0,,No
RM275,3,2,1,0.0,No
RM358,3,2,1,2.0,Yes
RM363,3,2,2,,No
RM371,1,0,0,0.0,Yes
RM497,3,2,1,2.0,No
RM664,1,0,0,0.0,Yes
RM778,1,0,1,0.0,Yes
RM816,2,2,2,2.0,No
RM916,2,2,2,2.0,Yes
RM1153,2,2,2,2.0,No
RM1272,1,0,1,0.0,Yes
RM1437,2,2,1,2.0,No
RM018,1,0,0,0.0,No
RM110,0,0,0,0.0,No
RM129,2,1,2,1.0,No
RM161,2,2,2,2.0,No
RM207,4,2,2,,No
RM384,2,1,1,2.0,No
RM444,2,2,1,2.0,Yes
RM499,2,2,2,2.0,No
RM631,2,2,2,2.0,No
RM667,3,2,0,2.0,Yes
RM735,4,3,1,1.0,No
RM861,0,0,0,0.0,Yes
RM1138,4,2,1,3.0,No
RM1274,1,0,0,0.0,Yes
RM1340,1,0,0,0.0,Yes
RM1424,3,2,1,2.0,No
RM087,0,0,0,0.0,No
RM346,4,2,0,2.0,No
RM517,3,2,0,2.0,No
RM551,4,3,0,2.0,No
RM566,2,2,0,2.0,No
RM586,0,0,0,0.0,Yes
RM911,1,0,0,1.0,No
RM1083,4,3,1,2.0,No
RM1128,2,2,2,2.0,No
RM1202,5,4,1,2.0,Yes
RM1214,3,2,0,2.0,Yes
RM1239,3,2,1,2.0,No
RM1409,5,2,1,4.0,No
RM1439,1,0,1,0.0,Yes
RM021,4,2,1,3.0,No
RM035,2,0,2,0.0,Yes
RM097,3,2,0,2.0,No
RM114,5,3,1,2.0,No
RM381,5,2,0,3.0,No
RM415,5,3,1,4.0,Yes
RM471,2,2,2,1.0,No
RM475,6,5,1,4.0,No
RM477,1,0,0,0.0,No
RM480,6,3,1,2.0,Yes
RM526,2,2,2,0.0,Yes
RM587,1,0,0,0.0,No
RM641,5,2,3,4.0,No
RM725,4,2,3,2.0,No
RM842,4,3,1,2.0,No
RM872,1,0,0,0.0,Yes
RM1026,5,4,0,3.0,No
RM1061,0,0,0,0.0,Yes
RM1062,1,0,0,0.0,No
RM1098,1,1,0,0.0,No
RM1169,6,3,1,3.0,No
RM1218,5,3,0,4.0,No
RM1223,1,0,0,0.0,Yes
RM1231,6,2,1,2.0,No
RM1246,2,2,2,1.0,No
RM1408,4,3,1,2.0,No
RM108,6,4,0,3.0,Yes
RM109,2,2,2,1.0,No
RM139,2,2,2,,No
RM256,4,2,1,,No
RM268,6,3,1,5.0,No
RM398,5,4,1,3.0,No
RM406,2,2,0,,Yes
RM479,7,4,0,6.0,No
RM518,3,2,1,2.0,No
RM564,6,5,1,4.0,No
RM619,4,3,0,1.0,No
RM635,5,3,0,3.0,No
RM639,5,2,0,3.0,No
RM684,1,0,0,0.0,Yes
RM797,7,7,5,6.0,Yes
RM886,4,3,1,1.0,No
RM912,1,0,1,0.0,Yes
RM935,2,2,2,1.0,No
RM966,3,2,1,2.0,No
RM994,3,2,1,2.0,No
RM1004,3,2,0,2.0,No
RM1022,3,2,2,2.0,Yes
RM1175,7,7,0,7.0,No
RM1412,2,0,1,2.0,No
RM1414,2,2,0,2.0,No
RM1434,5,3,0,4.0,No
RM043,1,0,0,1.0,Yes
RM055,2,2,0,0.0,No
RM126,5,4,4,3.0,No
RM135,8,7,5,7.0,No
RM279,6,5,1,4.0,No
RM285,5,3,3,3.0,No
RM289,3,2,0,2.0,Yes
RM294,8,7,7,4.0,Yes
RM356,8,7,7,7.0,No
RM383,6,4,0,4.0,Yes
RM419,3,2,0,2.0,No
RM454,7,7,1,0.0,Yes
RM461,0,0,0,0.0,No
RM464,1,0,0,0.0,Yes
RM476,5,3,1,4.0,No
RM506,3,2,0,2.0,No
RM572,2,2,2,0.0,No
RM574,4,3,1,2.0,Yes
RM615,8,7,1,7.0,Yes
RM686,7,7,0,7.0,No
RM734,8,7,1,3.0,No
RM749,2,2,2,2.0,Yes
RM763,3,2,1,2.0,Yes
RM770,5,3,1,3.0,No
RM782,5,3,1,3.0,No
RM798,1,1,0,0.0,Yes
RM844,8,7,0,7.0,No
RM913,8,5,2,2.0,No
RM999,4,3,1,1.0,No
RM1005,7,7,0,7.0,No
RM1119,1,0,0,0.0,No
RM1207,7,7,5,7.0,No
RM1225,3,2,0,2.0,No
RM1298,5,1,1,4.0,Yes
RM1310,5,3,1,2.0,No
RM1350,1,0,1,0.0,No
RM1362,7,7,7,7.0,No
RM1387,7,7,7,6.0,No
RM1465,4,2,0,0.0,No
RM1465,4,2,0,5.0,No
RM005,2,2,2,2.0,No
RM042,1,0,0,0.0,No
RM044,9,8,1,7.0,No
RM162,2,2,2,2.0,No
RM165,1,1,0,1.0,No
RM171,5,2,1,1.0,No
RM192,7,7,0,3.0,No
RM201,2,2,2,0.0,No
RM213,7,7,0,7.0,No
RM319,4,3,1,2.0,No
RM321,5,4,0,4.0,No
RM332,5,4,1,4.0,No
RM340,8,7,0,7.0,No
RM374,5,2,0,4.0,No
RM486,5,3,0,3.0,No
RM496,4,3,0,2.0,Yes
RM513,4,2,1,1.0,No
RM522,6,5,0,4.0,No
RM531,9,7,0,7.0,No
RM538,9,7,1,7.0,No
RM555,7,6,0,7.0,No
RM577,4,2,1,1.0,No
RM611,9,8,0,8.0,No
RM616,0,0,0,0.0,No
RM671,1,1,0,0.0,No
RM718,2,2,2,2.0,No
RM740,3,2,2,2.0,No
RM787,3,2,1,2.0,No
RM834,4,2,2,2.0,No
RM890,9,7,6,8.0,No
RM903,5,3,0,3.0,No
RM971,1,0,0,0.0,No
RM975,6,2,0,0.0,No
RM997,6,2,4,4.0,No
RM998,8,2,7,7.0,Yes
RM1018,5,0,1,4.0,No
RM1150,7,7,0,7.0,No
RM1170,3,2,0,2.0,No
RM1171,4,2,1,2.0,No
RM1249,6,2,1,4.0,No
RM1318,5,4,0,2.0,No
RM1329,9,8,5,8.0,No
RM1335,7,6,7,3.0,No
RM1351,8,7,0,7.0,No
RM1368,5,3,1,2.0,No
RM1380,1,0,0,0.0,Yes
RM1394,7,7,0,7.0,No
RM1468,6,2,0,3.0,No
RM1468,6,2,0,3.0,No
RM015,4,2,0,3.0,Yes
RM052,2,2,2,2.0,Yes
RM098,5,4,0,4.0,No
RM163,5,2,0,2.0,No
RM265,0,0,0,0.0,Yes
RM273,5,2,0,4.0,No
RM290,5,3,0,2.0,No
RM303,8,3,0,7.0,No
RM324,3,2,2,2.0,Yes
RM375,7,5,0,7.0,No
RM405,10,0,1,,No
RM541,7,7,3,7.0,Yes
RM599,2,2,2,1.0,Yes
RM613,8,7,7,5.0,No
RM630,5,1,0,4.0,No
RM660,4,2,0,2.0,No
RM669,2,2,2,2.0,No
RM765,1,0,0,0.0,No
RM781,10,7,1,9.0,Yes
RM789,8,7,1,7.0,No
RM794,4,2,2,2.0,No
RM801,1,0,0,0.0,Yes
RM810,9,7,1,7.0,No
RM820,5,3,0,4.0,No
RM828,3,1,0,2.0,No
RM843,1,1,0,0.0,Yes
RM869,6,5,3,3.0,No
RM922,4,2,0,2.0,No
RM930,2,2,2,2.0,No
RM934,3,2,1,2.0,No
RM945,9,8,7,5.0,No
RM985,5,3,0,4.0,No
RM1042,5,4,1,3.0,No
RM1057,3,2,1,2.0,Yes
RM1069,0,0,0,0.0,Yes
RM1070,1,0,0,0.0,No
RM1071,4,2,1,3.0,No
RM1074,8,6,1,7.0,No
RM1137,1,1,0,0.0,Yes
RM1152,5,3,0,0.0,No
RM1284,5,3,0,3.0,No
RM1308,3,2,1,2.0,No
RM1324,3,2,2,2.0,No
RM1338,1,0,0,0.0,No
RM1365,7,7,0,7.0,No
RM1370,2,0,2,2.0,Yes
RM1382,5,3,1,4.0,No
RM1391,4,1,0,3.0,Yes
RM012,9,5,0,8.0,No
RM016,10,9,8,8.0,No
RM072,5,4,0,,No
RM156,10,7,0,9.0,No
RM206,10,4,1,,Yes
RM218,6,2,1,5.0,Yes
RM228,11,10,4,1.0,No
RM230,4,3,0,1.0,Yes
RM253,6,5,1,,No
RM255,3,2,0,,No
RM266,0,0,0,0.0,No
RM283,10,7,0,9.0,No
RM337,7,7,0,7.0,Yes
RM338,3,2,2,2.0,No
RM344,7,7,1,7.0,No
RM350,4,3,0,2.0,No
RM372,3,2,1,2.0,No
RM421,10,2,0,7.0,No
RM422,2,2,1,1.0,Yes
RM455,3,2,1,2.0,No
RM508,6,0,1,2.0,No
RM520,10,7,2,8.0,No
RM547,1,0,0,0.0,No
RM556,2,2,2,2.0,No
RM573,8,7,1,1.0,No
RM590,1,0,0,0.0,Yes
RM595,10,7,0,7.0,No
RM646,3,2,0,2.0,Yes
RM658,4,3,0,3.0,No
RM698,3,1,0,2.0,No
RM712,0,0,0,0.0,Yes
RM809,7,5,1,7.0,No
RM824,7,5,1,1.0,No
RM826,10,7,1,2.0,No
RM837,11,8,3,10.0,Yes
RM853,10,8,0,8.0,No
RM860,5,4,1,3.0,No
RM894,3,2,1,2.0,No
RM904,6,0,1,0.0,No
RM906,7,7,1,7.0,No
RM933,7,7,7,7.0,Yes
RM1006,10,9,0,9.0,No
RM1008,8,7,7,7.0,Yes
RM1058,5,3,0,0.0,Yes
RM1064,10,7,0,4.0,No
RM1073,3,2,0,2.0,No
RM1078,9,7,0,7.0,Yes
RM1091,7,7,0,7.0,No
RM1105,1,0,0,0.0,No
RM1123,10,9,1,5.0,No
RM1126,6,4,1,3.0,No
RM1173,5,2,1,4.0,No
RM1189,10,0,0,9.0,No
RM1220,5,3,1,2.0,No
RM1250,2,2,2,2.0,Yes
RM1251,3,2,0,2.0,No
RM1259,1,0,0,0.0,No
RM1314,2,2,2,0.0,Yes
RM1319,11,8,3,10.0,No
RM1325,7,0,1,6.0,No
RM1330,1,0,0,0.0,No
RM1333,1,0,1,0.0,Yes
RM1344,3,2,1,2.0,No
RM1366,1,0,0,0.0,Yes
RM1388,5,3,0,2.0,No
RM1443,2,2,2,2.0,Yes
RM1460,4,3,0,3.0,No
RM1461,5,4,0,4.0,No
RM1461,5,4,0,4.0,No
RM008,1,0,0,,No
RM033,10,0,1,8.0,No
RM045,12,8,3,7.0,No
RM081,10,8,3,0.0,No
RM089,11,10,10,8.0,No
RM093,11,8,2,7.0,No
RM121,10,7,0,9.0,No
RM140,11,9,4,,No
RM144,5,4,0,,No
RM146,3,2,2,,No
RM147,5,3,1,,No
RM168,10,9,7,4.0,No
RM174,12,9,6,10.0,No
RM212,11,8,5,8.0,No
RM215,5,2,0,4.0,Yes
RM217,6,3,0,1.0,Yes
RM325,10,8,1,9.0,No
RM339,10,9,1,2.0,No
RM355,2,2,2,2.0,No
RM382,1,0,0,0.0,No
RM386,1,0,0,0.0,Yes
RM403,5,4,4,4.0,No
RM411,5,4,0,2.0,No
RM420,5,3,1,4.0,No
RM424,9,8,7,8.0,No
RM427,11,7,6,7.0,No
RM438,3,2,1,2.0,No
RM481,1,0,0,0.0,Yes
RM502,1,0,0,0.0,No
RM546,8,7,7,7.0,No
RM582,2,2,0,2.0,No
RM603,0,0,0,0.0,No
RM624,5,4,0,3.0,No
RM703,8,4,7,7.0,No
RM721,5,2,0,1.0,Yes
RM731,8,7,1,7.0,No
RM733,3,2,1,2.0,Yes
RM783,6,2,0,2.0,No
RM845,10,3,1,4.0,No
RM866,4,3,0,3.0,No
RM875,10,7,8,9.0,No
RM887,11,9,5,7.0,No
RM932,8,4,1,7.0,No
RM942,9,2,6,7.0,No
RM949,9,1,0,8.0,No
RM1014,3,2,0,2.0,No
RM1050,2,1,2,2.0,No
RM1053,1,0,0,0.0,No
RM1065,5,3,1,3.0,No
RM1107,10,8,6,7.0,Yes
